2016-04-27 13:36:58.3461 TRACE Login:Admin|1|c4ca4238a0b923820dcc509a6f75849b
2016-04-27 13:37:02.9220 INFO /api/users/current
2016-04-27 13:37:03.3659 INFO /api/users/current
2016-04-27 13:38:44.9725 INFO /api/users/current
2016-04-27 13:42:29.9767 INFO /api/users/current
2016-04-27 13:42:30.3330 INFO /api/users/current
2016-04-27 13:43:00.1652 INFO /api/users/current
2016-04-27 13:43:00.5369 INFO /api/users/current
2016-04-27 13:43:08.3213 INFO /api/users/current
2016-04-27 13:43:08.6616 INFO /api/users/current
2016-04-27 13:45:32.0217 INFO /api/users/current
